New Folio No. and Face,Position in volume,Format,Language,Entry No.,Entry Part,Section - Type,Subject - Main,Subject - Additional,Printed,(Do not include),Document Notes,Editors' Notes,Condition - Conservation Survey
19 r - 19 r,,Parchment,Latin,224,,"archdeaconry, York",Absence,"licence for, for three years and to celebrate private masses",,,,,
19 v - 19 v,,Parchment,Latin,225,,"archdeaconry, York",Parish Church,"licence to set at farm, for prioress and convent",,,,,
19 v - 19 v,,Parchment,Latin,226,,"archdeaconry, York",Visitation,"of abbey, warning of?",,,,,
19 v - 19 v,,Parchment,Latin,227,,"archdeaconry, York",Visitation,"of clergy and people of York, warning of",,,,,
19 v - 19 v,,Parchment,Latin,228,,"archdeaconry, York",Exchange,,,,,,
19 v - 20 r,,Parchment,Latin,229,,"archdeaconry, York",Exchange,,,,,,
20 r - 20 r,,Parchment,Latin,230,,"archdeaconry, York",Absence/Non-residence,"licence for, while on the king's service",,,,,
20 r - 20 r,,Parchment,Latin,231,,"archdeaconry, York",Institution,of rector,,,,,
20 r - 20 r,,Parchment,Latin,232,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
20 r - 20 r,,Parchment,Latin,233,,"archdeaconry, York",Exchange,,,,,,
20 r - 20 r,,Parchment,Latin,234,,"archdeaconry, York",Institution,of rector,,,,,
20 r - 20 r,,Parchment,Latin,235,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
20 r - 20 r,,Parchment,Latin,236,,"archdeaconry, York",Institution,of vicar,,,,,
20 r - 20 r,,Parchment,Latin,237,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
20 r - 20 v,,Parchment,Latin,238,,"archdeaconry, York",Exchange,,,,,,
20 v - 20 v,,Parchment,Latin,239,,"archdeaconry, York",Collation,to chantry,,,,,
20 v - 20 v,,Parchment,Latin,240,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
20 v - 20 v,,Parchment,Latin,241,,"archdeaconry, York",Testament,,"Testamenta, p. 93",,,,
20 v - 20 v,,Parchment,Latin,242,,"archdeaconry, York",Probate,of testament (entry no. 225),,,,,
20 v - 20 v,,Parchment,Latin,243,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
20 v - 20 v,,Parchment,Latin,244,,"archdeaconry, York",Visitation,"warning of progress of, to abbot and convent",,,,,
20 v - 20 v,,Parchment,Latin,245,,"archdeaconry, York",Visitation,"warning of, to prior and convent",,,,,
21 r - 21 r,,Parchment,Latin,246,,"archdeaconry, York",Visitation,"warning of, to prior and convent",,,,,
21 r - 21 r,,Parchment,Latin,247,,"archdeaconry, York",Visitation,"warning of, to abbot and convent",,,,,
21 r - 21 r,,Parchment,Latin,248,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
21 r - 21 r,,Parchment,Latin,249,,"archdeaconry, York",Absence,"licence for, for one year",,,,,
21 r - 21 r,,Parchment,Latin,250,,"archdeaconry, York",Absence,"licence for, for two years",,,,,
21 r - 21 r,,Parchment,Latin,251,,"archdeaconry, York",Institution,of rector,,,,,
21 r - 21 r,,Parchment,Latin,252,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
21 r - 21 r,,Parchment,Latin,253,,"archdeaconry, York",Institution,of parish priest,,,,,
21 r - 21 r,,Parchment,Latin,254,,"archdeaconry, York",Induction,"of parish priest (into parish church), mandate for",,,,,
21 r - 21 r,,Parchment,Latin,255,,"archdeaconry, York",Exchange,,,,,,
21 r - 21 r,,Parchment,Latin,256,,"archdeaconry, York",Institution,of parish priest,,,,,
21 r - 21 r,,Parchment,Latin,257,,"archdeaconry, York",Induction,"of parish priest (into parish church), mandate for",,,,,
21 r - 21 r,,Parchment,Latin,258,,"archdeaconry, York",Letters dimissory,for all orders,,,,,
21 v - 21 v,,Parchment,Latin,259,,"archdeaconry, York",Institution,of parish priest,,,,,
21 v - 21 v,,Parchment,Latin,260,,"archdeaconry, York",Induction,"of parish priest (into parish church), mandate for",,,,,
21 v - 21 v,,Parchment,Latin,261,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
21 v - 21 v,,Parchment,Latin,262,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
21 v - 21 v,,Parchment,Latin,263,,"archdeaconry, York",Synod,licence not to attend?,,,,,
21 v - 21 v,,Parchment,Latin,264,,"archdeaconry, York",Absolution,"licence to give, for religious house, during pleasure",,,,,
21 v - 21 v,,Parchment,Latin,265,,"archdeaconry, York",Confessions,"licence to hear, of religious house, during pleasure",,,,,
21 v - 21 v,,Parchment,Latin,267,,"archdeaconry, York",Surrender,"of church, order for, to abbot and convent ",,,,,
21 v - 21 v,,Parchment,Latin,268,,"archdeaconry, York",Surrender,"???, abbot and convent, by reason of ???",,,,,
21 v - 21 v,,Parchment,Latin,269,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
21 v - 21 v,,Parchment,Latin,270,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
21 v - 21 v,,Parchment,Latin,271,,"archdeaconry, York",Exchange,,,,,,
21 v - 22 r,,Parchment,Latin,272,,"archdeaconry, York",Vicarage,"care/curation of, deputation of",,,,,
22 r - 22 r,,Parchment,Latin,273,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
22 r - 22 r,,Parchment,Latin,274,,"archdeaconry, York",Absence,"licence for, for two years",,,,,
22 r - 22 r,,Parchment,Latin,275,,"archdeaconry, York",Institution,of rector,,,,,
22 r - 22 r,,Parchment,Latin,276,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
22 r - 22 r,,Parchment,Latin,277,,"archdeaconry, York",Indulgence,?,,,,,
22 r - 22 v,,Parchment,Latin,278,,"archdeaconry, York",Surrender,"of churches, by abbot and convent",,,,,
22 v - 22 v,,Parchment,Latin,279,,"archdeaconry, York",Institution,of rector,,,,,
22 v - 22 v,,Parchment,Latin,280,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
22 v - 23 r,,Parchment,Latin,281,,"archdeaconry, York",Prayers,"for healing/healthy state of king, orders for",,,,,
23 r - 23 r,,Parchment,Latin,282,,"archdeaconry, York",Prayers,"for healing/healthy state of king, orders for, to chapter of York with indulgence",,,,,
23 r - 23 r,,Parchment,Latin,283,,"archdeaconry, York",Institution,of rector,,,,,
23 r - 23 r,,Parchment,Latin,284,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
23 r - 23 r,,Parchment,Latin,285,,"archdeaconry, York",Retirement,"of prior, commission to receive",,,,,
23 r - 23 r,,Parchment,Latin,286,,"archdeaconry, York",Institution,of vicar,,,,,
23 r - 23 r,,Parchment,Latin,287,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
23 r - 23 r,,Parchment,Latin,288,,"archdeaconry, York",Testament,,,Not found in Testamenta,,,
23 r - 23 r,,Parchment,Latin,289,,"archdeaconry, York",Probate,of testament ,,,,,
23 r - 23 r,,Parchment,Latin,290,,"archdeaconry, York",Institution,of vicar,,,,,
23 r - 23 r,,Parchment,Latin,291,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
23 r - 23 r,,Parchment,Latin,292,,"archdeaconry, York",Prior,commission to confirm election of,,,,,
23 v - 23 v,,Parchment,Latin,293,,"archdeaconry, York",Taxation,"appointment of collectors, clerical poll tax, 1377, York Province",,,,,
23 v - 23 v,,Parchment,Latin,294,,"archdeaconry, York",Institution,of rector,,,,,
23 v - 23 v,,Parchment,Latin,295,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
23 v - 23 v,,Parchment,Latin,296,,"archdeaconry, York",Testament,,,Not found in Testamenta,,,
23 v - 23 v,,Parchment,Latin,297,,"archdeaconry, York",Probate,,,,,,
23 v - 23 v,,Parchment,Latin,298,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
23 v - 23 v,,Parchment,Latin,299,,"archdeaconry, York",Institution,of rector,,,,,
23 v - 23 v,,Parchment,Latin,300,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
23 v - 23 v,,Parchment,Latin,301,,"archdeaconry, York",Absence,"licence for, for one and a half years?",,,,,
23 v - 23 v,,Parchment,Latin,302,,"archdeaconry, York",Vacated entry,institution,,,,,
23 v - 23 v,,Parchment,Latin,303,,"archdeaconry, York",Vacated entry,"induction, mandate for",,,,,
23 v - 23 v,,Parchment,Latin,304,,"archdeaconry, York",Collation,to chantry,,,,,
23 v - 23 v,,Parchment,Latin,305,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
24 r - 24 r,,Parchment,Latin,306,,"archdeaconry, York",Admission,of canon (order to chapter to accept?),,,,,
24 r - 24 r,,Parchment,Latin,307,,"archdeaconry, York",Testament,,"Testamenta, p. 84",,,,
24 r - 24 r,,Parchment,Latin,308,,"archdeaconry, York",Prayers,"for king, orders for",,,,,
24 v - 24 v,,Parchment,Latin,309,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
24 v - 24 v,,Parchment,Latin,310,,"archdeaconry, York",Array/arming,"of clergy, warning of?",,,,,
24 v - 24 v,,Parchment,Latin,311,,"archdeaconry, York",Absence/Non-residence,"licence for, for one year",,,,,
24 v - 25r,,Parchment,Latin,312,,"archdeaconry, York",Poverty,"of religious house, order for enquiry into",,,,,
25 r - 25 r,,Parchment,Latin,313,,"archdeaconry, York",Institution,of vicar,,,,,
25 r - 25 r,,Parchment,Latin,314,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
25 r - 25 r,,Parchment,Latin,315,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
25 r - 25 r,,Parchment,Latin,316,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
25 r - 25 r,,Parchment,Latin,317,,"archdeaconry, York",Absence/Non-residence,"licence for, for one week",,,,,
25 r - 25 r,,Parchment,Latin,318,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years",,,,,
25 r - 25 r,,Parchment,Latin,319,,"archdeaconry, York",Absence,"licence for, for one year, in the service of Lord Grey, with others",,,,,
25 r - 25 r,,Parchment,Latin,320,,"archdeaconry, York",Induction,"of parish priest (into parish church), mandate for",,,,,
25 r - 25 r,,Parchment,Latin,321,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
25 r - 25 r,,Parchment,Latin,322,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
25 r - 25 r,,Parchment,Latin,323,,"archdeaconry, York",Institution,of vicar,,,,,
25 r - 25 r,,Parchment,Latin,324,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
25 v - 25 v,,Parchment,Latin,325,,"archdeaconry, York","Friars, Mendicant",order rel to private masses,,,,,
25 v - 25 v,,Parchment,Latin,326,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years, under 'Cum ex eo', for orders higher than subdeacon?",,,,,
25 v - 25 v,,Parchment,Latin,327,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
25 v - 25 v,,Parchment,Latin,328,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years",,,,,
25 v - 25 v,,Parchment,Latin,329,,"archdeaconry, York",Taxation,"two clerical tenths, 1378, York Province, order for speedy payment, Archdeacon of York",,,,,
25 v - 25 v,,Parchment,Latin,330,a,"archdeaconry, York",Taxation,"two clerical tenths, 1378, York Province, order for speedy payment, Archdeacon of East Riding",,,,,
25 v - 25 v,,Parchment,Latin,330,b,"archdeaconry, York",Taxation,"two clerical tenths, 1378, York Province, order for speedy payment, Archdeacon of Richmond",,,,,
25 v - 25 v,,Parchment,Latin,330,c,"archdeaconry, York",Taxation,"two clerical tenths, 1378, York Province, order for speedy payment, Archdeacon of Cleveland",,,,,
25 v - 25 v,,Parchment,Latin,330,d,"archdeaconry, York",Taxation,"two clerical tenths, 1378, York Province, order for speedy payment, Archdeacon of Nottingham",,,,,
26 r - 26 r,,Parchment,Latin,331,,"archdeaconry, York",Tonsure,"first, testimonial on receipt of",,,,,
26 r - 26 r,,Parchment,Latin,332,,"archdeaconry, York",Institution,"of parish priest (marginal heading for induction, but no corresponding entry)",,,,,
26 r - 26 r,,Parchment,Latin,333,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
26 r - 26 r,,Parchment,Latin,334,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
26 r - 26 r,,Parchment,Latin,335,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years",,,,,
26 r - 26 r,,Parchment,Latin,336,,"archdeaconry, York",Institution,of vicar,,,,,
26 r - 26 r,,Parchment,Latin,337,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
26 r - 26 r,,Parchment,Latin,338,,"archdeaconry, York",Institution,of rector,,,,,
26 r - 26 r,,Parchment,Latin,339,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
26 r - 26 r,,Parchment,Latin,340,,"archdeaconry, York",Collation,to chantry,,,,,
26 r - 26 r,,Parchment,Latin,341,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
26 v - 26 v,,Parchment,Latin,342,,"archdeaconry, York",Testament,,,Not found in Testamenta,,,
26 v - 26 v,,Parchment,Latin,343,,"archdeaconry, York",Induction,of parish priest,,,,,
26 v - 26 v,,Parchment,Latin,344,,"archdeaconry, York",Collation,to chantry,,,,,
26 v - 26 v,,Parchment,Latin,345,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
26 v - 26 v,,Parchment,Latin,346,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
26 v - 26 v,,Parchment,Latin,347,,"archdeaconry, York",Collation,to chantry,,,,,
26 v - 26 v,,Parchment,Latin,348,,"archdeaconry, York",Induction,"of chantry chaplains, mandate for",,,,,
27 r - 27 r,,Parchment,Latin,349,,"archdeaconry, York",Institution,of parish priest,,,,,
27 r - 27 r,,Parchment,Latin,350,,"archdeaconry, York",Induction,"of parish priest (into parish church), mandate for",,,,,
27 r - 27 r,,Parchment,Latin,351,,"archdeaconry, York",Institution,of Master of Hospital,,,,,
27 r - 27 r,,Parchment,Latin,352,,"archdeaconry, York",Induction,"of Master of Hospital, mandate for",,,,,
27 r - 27 r,,Parchment,Latin,353,,"archdeaconry, York",Institution,of vicar,,,,,
27 r - 27 r,,Parchment,Latin,354,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
27 r - 27 v,,Parchment,Latin,355,,"archdeaconry, York",Ordination/Ordinances,for chantry,,,,,
27 v - 27 v,,Parchment,Latin,356,,"archdeaconry, York",Induction,of rector,,,,,
27 v - 27 v,,Parchment,Latin,357,,"archdeaconry, York",Institution,of vicar,,,,,
27 v - 27 v,,Parchment,Latin,358,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
28 r - 28 r,,Parchment,Latin,359,,"archdeaconry, York",Exchange,,,,,,
28 r - 28 r,,Parchment,Latin,360,,"archdeaconry, York",Induction,of parish priest (into parish church),,,,,
28 r - 28 r,,Parchment,Latin,361,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
28 r - 28 r,,Parchment,Latin,362,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
28 r - 28 r,,Parchment,Latin,363,,"archdeaconry, York",Institution,of vicar,,,,,
28 r - 28 r,,Parchment,Latin,364,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
28 r - 28 r,,Parchment,Latin,365,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
28 r - 28 r,,Parchment,Latin,366,,"archdeaconry, York",Institution,of rector (moiety),,,,,
28 r - 28 r,,Parchment,Latin,367,,"archdeaconry, York",Induction,"of rector (moiety), mandate for",,,,,
28 r - 28 r,,Parchment,Latin,368,,"archdeaconry, York",Institution,of rector,,,,,
28 r - 28 r,,Parchment,Latin,369,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
28 r - 28 r,,Parchment,Latin,370,,"archdeaconry, York",Absence/Non-residence,"licence for, for two years",,,,,
28 r - 28 r,,Parchment,Latin,371,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years",,,,,
28 r - 28 r,,Parchment,Latin,372,,"archdeaconry, York",Induction,of rector,,,,,
28 r - 28 r,,Parchment,Latin,373,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
28 r - 28 r,,Parchment,Latin,374,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
28 v - 28 v,,Parchment,Latin,375,,"archdeaconry, York",Institution,of vicar,,,,,
28 v - 28 v,,Parchment,Latin,376,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
28 v - 29 r,,Parchment,Latin,377,,"archdeaconry, York",Ordination/Ordinances,"of chantry, and confirmation of",,,,,
29 r - 29 r,,Parchment,Latin,378,,"archdeaconry, York",Institution,of rector,,,,,
29 r - 29 r,,Parchment,Latin,379,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
29 r - 29 r,,Parchment,Latin,380,,"archdeaconry, York",Collation,"to canonry and prebend, by biretta",,,,,
29 r - 29 r,,Parchment,Latin,381,,"archdeaconry, York",Induction,of rector,,,,,
29 r - 29 r,,Parchment,Latin,382,,"archdeaconry, York","Payments, customary","of parish church (tithes, oblations, mortuaries), approval of",,,,,
29 r - 29 r,,Parchment,Latin,383,,"archdeaconry, York",Induction,of parish priest (into parish church),,,,,
29 r - 29 r,,Parchment,Latin,384,,"archdeaconry, York",Absence,"licence for, for four years",,,,,
29 r - 29 r,,Parchment,Latin,385,,"archdeaconry, York",Collation,to chantry,,,,,
29 v - 29 v,,Parchment,Latin,386,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
29 v - 29 v,,Parchment,Latin,387,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,388,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
29 v - 29 v,,Parchment,Latin,389,,"archdeaconry, York",Absence,"licence for, for two years",,,,,
29 v - 29 v,,Parchment,Latin,390,,"archdeaconry, York",Institution,of rector,,,,,
29 v - 29 v,,Parchment,Latin,391,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,392,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
29 v - 29 v,,Parchment,Latin,393,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,394,,"archdeaconry, York",Institution,of vicar,,,,,
29 v - 29 v,,Parchment,Latin,395,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,396,,"archdeaconry, York",Institution,of rector,,,,,
29 v - 29 v,,Parchment,Latin,397,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,398,,"archdeaconry, York",Institution,of rector,,,,,
29 v - 29 v,,Parchment,Latin,399,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,400,,"archdeaconry, York",Institution,of rector,,,,,
29 v - 29 v,,Parchment,Latin,401,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,402,,"archdeaconry, York",Institution,of rector,,,,,
29 v - 29 v,,Parchment,Latin,403,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
29 v - 29 v,,Parchment,Latin,404,,"archdeaconry, York",Institution,of rector,,,,,
29 v - 29 v,,Parchment,Latin,405,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
30 r - 30 r,,Parchment,Latin,406,,"archdeaconry, York",Institution,of rector (moiety),,,,,
30 r - 30 r,,Parchment,Latin,407,,"archdeaconry, York",Induction,"of rector (moiety), mandate for",,,,,
30 r - 30 r,,Parchment,Latin,408,,"archdeaconry, York",Appropriation,of parish church by religious house,,,,,
30 r - 30 r,,Parchment,Latin,409,,"archdeaconry, York",Appropriation,"of parish church by religious house, notarial subscription",,,,,
30 v - 30 v,,Parchment,Latin,410,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
30 v - 30 v,,Parchment,Latin,411,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
30 v - 30 v,,Parchment,Latin,412,,"archdeaconry, York",Institution,of vicar,,,,,
30 v - 30 v,,Parchment,Latin,413,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
30 v - 30 v,,Parchment,Latin,414,,"archdeaconry, York",Institution,of rector,,,,,
30 v - 30 v,,Parchment,Latin,415,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
30 v - 30 v,,Parchment,Latin,416,,"archdeaconry, York",Absence,"licence for, for two years",,,,,
30 v - 30 v,,Parchment,Latin,417,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
30 v - 30 v,,Parchment,Latin,418,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
30 v - 30 v,,Parchment,Latin,419,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
30 v - 30 v,,Parchment,Latin,420,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
30 v - 30 v,,Parchment,Latin,421,,"archdeaconry, York",Institution,of rector,,,,,
30 v - 30 v,,Parchment,Latin,422,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
30 v - 30 v,,Parchment,Latin,423,,"archdeaconry, York",Institution,of rector,,,,,
30 v - 30 v,,Parchment,Latin,424,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
31 r - 31 r,,Parchment,Latin,425,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
31 r - 31 r,,Parchment,Latin,426,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
31 r - 31 r,,Parchment,Latin,427,,"archdeaconry, York",Institution,of chaplain,,,,,
31 r - 31 r,,Parchment,Latin,428,,"archdeaconry, York",Induction,"of chaplain, mandate for",,,,,
31 r - 31 r,,Parchment,Latin,429,,"archdeaconry, York",Confirmation,"of abbot, letters testimonial of",,,,,
31 r - 31 r,,Parchment,Latin,430,,"archdeaconry, York",Submission,"to abbot, order to prior and convent for",,,,,
31 r - 31 r,,Parchment,Latin,431,,"archdeaconry, York",Installation,"of abbot, commission to archdeacon of York for",,,,,
31 r - 31 r,,Parchment,Latin,432,,"archdeaconry, York",Obedience,"of abbot, oath of, to archbishop",,,,,
31 v - 31 v,,Parchment,Latin,433,,"archdeaconry, York",Profession,"of abbot, of obedience to archbishop ",,,,,
31 v - 31 v,,Parchment,Latin,434,,"archdeaconry, York",Profession,"of abbot, of obedience to archbishop, attestation of",,,,,
31 v - 31 v,,Parchment,Latin,435,,"archdeaconry, York",Temporalities,archbishop's request to king rel to temporalities of abbot,,,,,
31 v - 31 v,,Parchment,Latin,436,,"archdeaconry, York",Collation,to chantry,,,,,
31 v - 31 v,,Parchment,Latin,437,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
31 v - 31 v,,Parchment,Latin,438,,"archdeaconry, York",Synods,"licence not to attend, for life",,,,,
31 v - 31 v,,Parchment,Latin,439,,"archdeaconry, York",Testament,,,Not found in Testamenta,,,
31 v - 31 v,,Parchment,Latin,440,,"archdeaconry, York",Institution,of rector,,,,,
31 v - 31 v,,Parchment,Latin,441,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
32 r - 32 r,,Parchment,Latin,442,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
32 r - 32 r,,Parchment,Latin,443,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
32 r - 32 r,,Parchment,Latin,444,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
32 r - 32 r,,Parchment,Latin,445,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
32 r - 32 r,,Parchment,Latin,446,,"archdeaconry, York",Institution,of vicar,,,,,
32 r - 32 r,,Parchment,Latin,447,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
32 r - 32 r,,Parchment,Latin,448,,"archdeaconry, York",Testament,,"Testamenta, pp. 123-4",,,,
32 r - 32 r,,Parchment,Latin,449,,"archdeaconry, York",Institution,of provost,,,,,
32 r - 32 r,,Parchment,Latin,450,,"archdeaconry, York",Induction,"of provost, mandate for",,,,,
32 r - 32 r,,Parchment,Latin,451,,"archdeaconry, York",Induction,of chantry chaplain,,,,,
32 v - 32 v,,Parchment,Latin,452,,"archdeaconry, York",Institution,of rector (moiety),,,,,
32 v - 32 v,,Parchment,Latin,453,,"archdeaconry, York",Induction,"of rector (moiety), mandate for",,,,,
32 v - 32 v,,Parchment,Latin,454,,"archdeaconry, York",Induction,of rector,,,,,
32 v - 32 v,,Parchment,Latin,455,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
32 v - 32 v,,Parchment,Latin,455,,"archdeaconry, York",Institution,of rector,,,,,
32 v - 32 v,,Parchment,Latin,456,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
32 v - 32 v,,Parchment,Latin,457,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
32 v - 32 v,,Parchment,Latin,458,,"archdeaconry, York",Exchange,,,,,,
32 v - 32 v,,Parchment,Latin,459,,"archdeaconry, York",Institution,of rector,,,,,
32 v - 32 v,,Parchment,Latin,460,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
33 r - 33 r,,Parchment,Latin,461,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
33 r - 33 r,,Parchment,Latin,462,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
33 r - 33 r,,Parchment,Latin,463,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
33 r - 33 r,,Parchment,Latin,464,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
33 r - 33 r,,Parchment,Latin,465,,"archdeaconry, York",Testament,,,Not found in Testamenta,,,
33 r - 33 r,,Parchment,Latin,466,,"archdeaconry, York",Array/arming,"of clergy, letter rel to",,,,,
33 v - 33 v,,Parchment,Latin,467,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
33 v - 33 v,,Parchment,Latin,468,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
33 v - 33 v,,Parchment,Latin,469,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
33 v - 33 v,,Parchment,Latin,470,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
33 v - 33 v,,Parchment,Latin,471,,"archdeaconry, York",Dispensation,"for absence, for study, under 'Cum ex eo', for five years at a studium generale in England, for orders higher than subdeacon",,,,,
33 v - 33 v,,Parchment,Latin,472,,"archdeaconry, York",Institution,of rector,,,,,
33 v - 33 v,,Parchment,Latin,473,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
33 v - 33 v,,Parchment,Latin,474,,"archdeaconry, York",Testament,,,Not found in Testamenta,,,
33 v - 33 v,,Parchment,Latin,475,,"archdeaconry, York",Institution,of vicar,,,,,
33 v - 33 v,,Parchment,Latin,476,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
34 r - 34 r,,Parchment,Latin,477,,"archdeaconry, York",Canonry and prebend,"possessions of, order for quiet enjoyment",,,,,Obscured text - cockling
34 r - 34 r,,Parchment,Latin,478,,"archdeaconry, York",Admission ,of canon and prebendary,,,,,Obscured text - cockling
34 r - 34 r,,Parchment,Latin,479,,"archdeaconry, York",Admission ,of canon and prebendary,,,,,Obscured text - cockling
34 r - 34 r,,Parchment,Latin,480,,"archdeaconry, York",Exchange,commission to expedite,,,,,Obscured text - cockling
34 r - 34 r,,Parchment,Latin,481,,"archdeaconry, York",Institution,of rector,,,,,Obscured text - cockling
34 r - 34 r,,Parchment,Latin,482,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,Obscured text - cockling
34 r - 34 r,,Parchment,Latin,483,,"archdeaconry, York",Vacated entry,,,,,,Obscured text - cockling
34 v - 34 v,,Parchment,Latin,484,,"archdeaconry, York",Admission ,of canon and prebendary,,,,,
34 v - 35 v,,Parchment,Latin,485,,"archdeaconry, York",Ordination/Ordinances,for chantry,,,,,
